metric,model,user_group,count,mean,std,f_statistic,p_value
Precision@10,VAECF,"High (Novelty), Low (Gini)",215,0.013023255813953489,0.038882454282521614,5.125372319192634,0.0016096466457895268
Precision@10,VAECF,"Low (Novelty), High (Gini)",242,0.026859504132231406,0.05598655822452193,5.125372319192634,0.0016096466457895268
Precision@10,VAECF,"Low (Novelty), Low (Gini)",210,0.02523809523809524,0.04969948423471444,5.125372319192634,0.0016096466457895268
Precision@10,WMF,"High (Novelty), High (Gini)",255,0.03058823529411765,0.0664455186424258,5.042101039868031,0.0018071107120016603
Precision@10,WMF,"High (Novelty), Low (Gini)",215,0.02837209302325581,0.06687029684949042,5.042101039868031,0.0018071107120016603
Precision@10,WMF,"Low (Novelty), High (Gini)",242,0.05041322314049587,0.07358509562032298,5.042101039868031,0.0018071107120016603
Precision@10,WMF,"Low (Novelty), Low (Gini)",210,0.03857142857142857,0.06553319873701727,5.042101039868031,0.0018071107120016603
MRR@10,EASEᴿ,"High (Novelty), High (Gini)",255,0.10588857765328352,0.23706079236235905,8.272544701213501,1.962790030224769e-05
MRR@10,EASEᴿ,"High (Novelty), Low (Gini)",215,0.14843853820598008,0.3038517542827379,8.272544701213501,1.962790030224769e-05
MRR@10,EASEᴿ,"Low (Novelty), High (Gini)",242,0.23789518562245837,0.35745088374289413,8.272544701213501,1.962790030224769e-05
MRR@10,EASEᴿ,"Low (Novelty), Low (Gini)",210,0.1901681783824641,0.32490080978928015,8.272544701213501,1.962790030224769e-05
MRR@10,NeuMF,"High (Novelty), High (Gini)",255,0.04330843448490507,0.15760450720160246,3.0332939412480533,0.028503685816868986
MRR@10,NeuMF,"High (Novelty), Low (Gini)",215,0.04848468069398302,0.15716522901609206,3.0332939412480533,0.028503685816868986
MRR@10,NeuMF,"Low (Novelty), High (Gini)",242,0.08099829463465827,0.1941194756251728,3.0332939412480533,0.028503685816868986
MRR@10,NeuMF,"Low (Novelty), Low (Gini)",210,0.08024943310657595,0.19658440522373194,3.0332939412480533,0.028503685816868986
MRR@10,VAECF,"High (Novelty), High (Gini)",255,0.05599439775910364,0.18549627657129525,3.190741938224705,0.023036986634886503
MRR@10,VAECF,"High (Novelty), Low (Gini)",215,0.0392561830933924,0.14922931642418125,3.190741938224705,0.023036986634886503
MRR@10,VAECF,"Low (Novelty), High (Gini)",242,0.08136396431850977,0.21279514663672566,3.190741938224705,0.023036986634886503
MRR@10,VAECF,"Low (Novelty), Low (Gini)",210,0.09135298563869992,0.2309090248238526,3.190741938224705,0.023036986634886503
MRR@10,WMF,"High (Novelty), High (Gini)",255,0.09913632119514472,0.24870475390303973,4.5439974790530515,0.0036045850324821207
MRR@10,WMF,"High (Novelty), Low (Gini)",215,0.10165374677002584,0.25831014892704357,4.5439974790530515,0.0036045850324821207
