model,diversification,personalize,lambda_param,NDCG_Loss,CompositeDiv_Gain,Tradeoff_Score
EASEᴿ,A_DIV,NP,0.1,0.14118182391473233,0.3446367455191845,2.4410843829821185
EASEᴿ,A_DIV,NP,0.2,0.14118182391473233,0.36591294208094965,2.5917850608159387
EASEᴿ,A_DIV,NP,0.3,0.14118182391473233,0.373990507608262,2.648998980450458
EASEᴿ,A_DIV,NP,0.4,0.14118182391473233,0.22275298980009445,1.577773849519238
EASEᴿ,A_DIV,NP,0.5,0.14118182391473233,0.1106165541063233,0.7835042149131809
EASEᴿ,A_DIV,NP,0.6,0.14118182391473233,0.06108788515470466,0.4326894458567066
EASEᴿ,A_DIV,NP,0.7,0.14118182391473233,0.038405976615297,0.2720320190684924
EASEᴿ,A_DIV,NP,0.8,0.14118182391473233,0.024737507789555385,0.1752173693725317
EASEᴿ,A_DIV,NP,0.9,0.14118182391473233,0.011160150046675699,0.07904806537572388
EASEᴿ,I_DIV+A_DIV,NP,0.1,0.14118182391473233,0.5428777852617308,3.845238503148998
EASEᴿ,I_DIV+A_DIV,NP,0.2,0.14118182391473233,0.3656156872761065,2.589679585786641
EASEᴿ,I_DIV+A_DIV,NP,0.3,0.14118182391473233,0.13795046535502098,0.9771120780982193
EASEᴿ,I_DIV+A_DIV,NP,0.4,0.14118182391473233,0.06839538851209652,0.48444896528185066
EASEᴿ,I_DIV+A_DIV,NP,0.5,0.14118182391473233,0.042705921487813533,0.30248880701248093
EASEᴿ,I_DIV+A_DIV,NP,0.6,0.14118182391473233,0.029673477675292978,0.2101791636663829
EASEᴿ,I_DIV+A_DIV,NP,0.7,0.14118182391473233,0.019737877538001478,0.13980466458573518
EASEᴿ,I_DIV+A_DIV,NP,0.8,0.14118182391473233,0.011364477248207813,0.08049532817391183
EASEᴿ,I_DIV+A_DIV,NP,0.9,0.14118182391473233,0.005137284142758353,0.0363877162109837
VAECF,I_DIV,P,0.1,0.12995505970983426,0.02102171699151817,0.16176143536431592
VAECF,I_DIV,P,0.2,0.12995505970983426,0.011177905190472515,0.08601362051951436
VAECF,I_DIV,P,0.3,0.12995505970983426,0.005681340501844184,0.04371773222627555
VAECF,I_DIV,P,0.4,0.12995505970983426,0.004992389725823554,0.038416278188557196
VAECF,I_DIV,P,0.5,0.12995505970983426,0.0026091261048902525,0.02007714136499149
VAECF,I_DIV,P,0.6,0.12995505970983426,0.0,0.0
VAECF,I_DIV,P,0.7,0.12995505970983426,0.0,0.0
VAECF,I_DIV,P,0.8,0.12995505970983426,0.0,0.0
VAECF,I_DIV,P,0.9,0.12995505970983426,0.0,0.0
VAECF,A_DIV,P,0.1,0.12995505970983426,0.2022483002843367,1.556294158426151
